Rango de edad,Mujeres (%),Hombres (%),Ciudad,Porcentaje (%),País,Porcentaje (%)
18-24,1.8,0.6,"Bogotá, Colombia",11.7,Colombia,36.3
25-34,26.2,7.2,"Santiago de Chile, Chile",11.1,Argentina,24.6
35-44,29.2,7.6,"Buenos Aires, Argentina",4,Chile,21.3
45-54,14,3.1,"Medellín, Colombia",3.7,México,7.8
55-64,6.4,1.1,"Ciudad de México, México",2,Estados Unidos,2
65+,2.4,0.4,"Cali, Colombia",2,España,1.5
,,,"Barranquilla, Colombia",1.6,Venezuela,1
,,,"Cartagena de Indias, Colombia",1,Brasil,0.3
,,,"Rosario, Santa Fe, Argentina",0.9,Canadá,0.3
,,,"Córdoba, Provincia de Córdoba, Argentina",0.8,Perú,0.2
